epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,776.32,1.88129,2.50728,1.47752,0.60834,0.52074,0.54085,0.21563,2.04552,2.74418,1.66838,0.000661458,0.000661458,0.000661458
2,1554.75,1.91678,1.86249,1.56546,0.69488,0.64723,0.705,0.29679,1.90649,1.8034,1.60288,0.00106516,0.00106516,0.00106516
